Date,Open,High,Low,Close,Volume
2020-03-03,131.64,131.92,129.27,130.54,3541083
2020-03-04,129.57,129.22,128.7,129.1,1306604
2020-03-05,129.52,129.2,127.34,128.18,3032656
2020-03-06,130.81,132.28,128.79,130.29,3296446
2020-03-09,130.88,132.61,130.78,130.98,4027322
2020-03-10,129.73,128.68,126.9,127.45,3159271
2020-03-11,128.99,128.71,127.55,128.1,3787833
2020-03-12,127.9,128.58,126.47,127.33,4289986
2020-03-13,124.7,127.03,124.02,125.98,2458251
2020-03-16,125.91,128.05,127.07,127.2,2003750
2020-03-17,129.55,129.52,128.22,129.26,2267403
2020-03-18,131.27,132.9,130.77,131.12,2315777
2020-03-19,128.83,130.35,127.5,129.45,4075319
2020-03-20,128.97,129.22,128.6,128.83,1149805
2020-03-23,131.08,130.23,128.68,129.49,2854165
2020-03-24,132.14,132.27,129.97,131.44,2870038
2020-03-25,129.34,132.14,129.07,130.48,3247837
2020-03-26,130.0,131.58,129.27,130.11,2681476
2020-03-27,127.09,129.44,127.21,127.9,1377224
2020-03-30,125.12,125.53,124.71,125.51,2918036
2020-03-31,126.72,127.96,126.6,127.13,1479498
2020-04-01,129.37,130.81,129.43,129.84,2184836
2020-04-02,128.45,129.74,128.73,129.7,1238178
2020-04-03,131.58,132.23,131.17,131.71,1259418
2020-04-06,131.87,133.95,131.86,132.43,3126832
2020-04-07,128.21,131.41,129.83,131.14,1234433
2020-04-08,133.92,132.93,129.93,131.86,3026199
2020-04-09,136.03,135.37,133.73,134.94,1364446
2020-04-10,134.49,134.89,134.71,134.87,3564768
2020-04-13,138.02,138.48,137.85,138.0,1448934
2020-04-14,131.59,134.71,130.85,132.76,3657885
2020-04-15,136.1,136.0,133.81,134.4,2047725
2020-04-16,136.47,136.49,134.39,134.58,2578660
2020-04-17,134.13,134.95,132.78,133.98,2882226
2020-04-20,135.18,134.38,132.91,134.16,2743067
2020-04-21,130.36,131.28,128.89,130.19,2449915
2020-04-22,128.41,130.65,129.21,129.75,3760734
2020-04-23,130.05,132.15,130.43,130.46,3907658
2020-04-24,133.55,133.61,131.49,133.42,3078038
2020-04-27,131.93,133.36,131.88,132.38,2471617
2020-04-28,130.54,131.06,129.41,130.76,1823271
2020-04-29,129.67,130.41,128.35,129.76,2942120
2020-04-30,131.51,133.06,130.37,131.59,4011098
2020-05-01,132.3,133.2,131.62,132.25,3689762
2020-05-04,130.13,131.94,130.65,131.19,3939905
2020-05-05,131.5,133.0,131.02,132.21,4900262
2020-05-06,131.12,133.33,130.68,132.41,4117156
2020-05-07,135.32,135.92,132.45,134.35,2682964
2020-05-08,130.84,134.73,132.73,132.94,4669049
2020-05-11,133.44,134.2,131.98,132.29,3516356
2020-05-12,132.89,133.08,129.61,131.5,1821939
2020-05-13,128.27,129.21,127.1,128.58,1099244
2020-05-14,126.56,130.54,127.4,129.17,4637588
2020-05-15,129.33,130.56,129.28,129.69,3485084
2020-05-18,129.64,130.21,128.52,129.7,4503123
2020-05-19,128.22,130.91,127.83,129.23,4955966
2020-05-20,125.88,126.48,125.04,126.4,4276092
2020-05-21,127.09,127.36,124.74,125.56,4969061
2020-05-22,125.54,125.8,124.84,124.87,2458835
2020-05-25,122.34,124.54,122.1,123.27,4614705
2020-05-26,121.35,124.26,122.44,122.95,3500120
2020-05-27,123.43,125.54,122.85,123.75,2248641
2020-05-28,127.31,128.8,125.61,127.53,4843704
2020-05-29,128.37,129.1,127.08,127.88,3149279
2020-06-01,127.86,128.52,126.71,128.39,1992281
2020-06-02,128.75,129.28,127.86,128.24,4932613
2020-06-03,126.34,124.7,123.06,124.4,1861864
2020-06-04,125.17,125.83,122.4,124.35,4757378
2020-06-05,124.42,125.5,124.27,124.47,4418848
2020-06-08,129.22,130.76,129.38,129.4,2687040
2020-06-09,128.66,129.1,128.15,129.01,3196274
2020-06-10,130.8,129.79,129.43,129.62,3429700
2020-06-11,128.92,130.98,128.05,129.55,2392652
2020-06-12,127.26,127.35,125.38,127.21,1621458
2020-06-15,129.55,129.64,128.63,129.5,4485579
2020-06-16,130.5,131.02,130.48,131.0,2531439
2020-06-17,131.21,134.49,131.71,132.58,4363640
2020-06-18,131.09,132.24,129.32,130.76,2821042
2020-06-19,133.51,134.27,133.55,133.57,3073890
2020-06-22,131.26,131.36,129.59,130.76,4381579
2020-06-23,131.4,132.64,130.71,131.94,4501661
2020-06-24,137.54,137.87,135.04,136.32,3717956
2020-06-25,133.46,135.66,133.85,134.34,4677973
2020-06-26,134.92,133.58,131.78,133.21,3604902
2020-06-29,131.66,133.75,133.22,133.4,2156300
2020-06-30,132.83,132.59,132.0,132.4,1398008
2020-07-01,129.77,130.62,127.54,129.3,2323957
2020-07-02,128.64,130.96,127.96,129.43,2886594
2020-07-03,127.73,127.84,127.28,127.31,1999291
2020-07-06,129.54,128.3,127.76,128.26,2854260
2020-07-07,124.2,126.58,125.99,126.42,4549651
2020-07-08,130.02,131.45,128.98,129.52,4835294
2020-07-09,125.46,128.54,127.46,127.95,3060356
2020-07-10,126.34,128.85,127.18,127.31,4673559
2020-07-13,130.56,130.18,128.02,128.93,3796647
2020-07-14,125.89,127.24,125.01,126.47,3344693
2020-07-15,125.75,127.34,125.71,126.93,2031328
2020-07-16,129.34,129.78,128.2,129.54,3726087
2020-07-17,128.39,127.56,126.16,126.33,2607895
2020-07-20,124.86,128.24,124.79,126.7,1174001
2020-07-21,126.16,128.5,125.54,127.22,2376467
2020-07-22,130.28,129.84,127.17,128.78,2499643
2020-07-23,128.16,126.39,124.66,126.31,3414607
2020-07-24,123.56,125.6,121.8,123.66,3602481
2020-07-27,123.47,126.31,123.62,124.71,4906419
2020-07-28,127.4,125.89,124.9,125.3,1065867
2020-07-29,127.4,127.76,124.57,125.8,1088780
2020-07-30,127.17,127.7,125.01,126.5,4202924
2020-07-31,124.32,126.3,123.66,125.14,3695145
2020-08-03,125.55,127.1,124.56,125.6,3941478
2020-08-04,126.03,127.81,126.05,126.19,1874072
2020-08-05,125.09,126.07,124.02,124.76,3597805
2020-08-06,129.94,128.75,126.65,128.49,3373887
2020-08-07,130.32,130.11,128.27,129.44,4767263
2020-08-10,125.98,128.91,125.98,127.05,4849981
2020-08-11,129.74,128.82,127.83,128.37,1000727
2020-08-12,126.73,127.16,125.68,126.42,4189550
2020-08-13,128.68,128.86,126.2,127.99,2019051
2020-08-14,131.78,131.19,128.98,130.31,2414119
2020-08-17,127.56,129.89,127.09,128.67,2160689
2020-08-18,130.56,132.48,129.69,130.59,2268182
2020-08-19,130.89,131.9,130.16,131.42,3489727
2020-08-20,131.5,133.31,132.57,133.06,1390732
2020-08-21,137.2,137.25,135.45,136.86,4730107
2020-08-24,138.88,138.14,135.51,136.37,3570746
2020-08-25,133.02,136.15,133.97,134.86,3251743
2020-08-26,133.05,133.65,131.78,133.08,4556337
2020-08-27,132.09,133.08,129.58,131.45,3000398
2020-08-28,131.42,133.02,131.17,131.29,2254179
2020-08-31,131.86,133.67,130.33,131.98,3276158
2020-09-01,131.23,134.37,131.95,132.53,4120452
2020-09-02,134.42,134.69,133.3,134.19,2421525
2020-09-03,133.45,135.72,134.17,134.21,4095759
2020-09-04,134.93,138.04,136.52,137.12,4305640
2020-09-07,137.78,138.27,135.58,136.59,2953097
2020-09-08,142.99,143.49,141.92,142.03,3710807
2020-09-09,143.33,144.83,142.3,143.28,3110417
2020-09-10,141.8,142.88,139.71,141.57,4544368
2020-09-11,140.5,139.78,139.21,139.42,2462417
2020-09-14,140.61,141.48,138.86,140.39,2652486
2020-09-15,140.85,141.91,139.12,139.94,4830275
2020-09-16,141.07,143.25,140.06,141.37,4443801
2020-09-17,143.63,142.4,141.8,142.32,3421188
2020-09-18,142.49,142.5,141.85,142.17,1675899
2020-09-21,140.67,140.74,140.16,140.48,1318774
2020-09-22,136.18,138.9,137.31,137.45,4367439
2020-09-23,136.84,138.19,136.18,136.55,1486626
2020-09-24,137.44,138.69,136.94,138.27,4023871
2020-09-25,138.06,139.71,136.93,138.7,4316185
2020-09-28,135.39,137.89,134.58,136.2,1655313
2020-09-29,135.48,138.02,135.18,136.55,1611868
2020-09-30,139.45,138.41,137.1,137.32,1339606
2020-10-01,136.89,136.73,134.98,135.55,3734836
2020-10-02,137.78,136.88,135.24,135.86,2407757
2020-10-05,134.75,136.57,135.48,135.98,2143886
2020-10-06,133.76,134.82,132.66,133.69,2204656
2020-10-07,133.11,135.78,133.34,134.41,4456800
2020-10-08,134.83,137.28,134.81,135.53,1738456
2020-10-09,136.78,138.97,136.99,137.69,2138452
2020-10-12,141.04,141.32,138.15,139.8,3646416
2020-10-13,136.65,137.37,135.47,137.05,4915030
2020-10-14,136.24,136.09,134.56,135.17,4532856
2020-10-15,136.81,136.22,134.37,136.2,1682986
2020-10-16,139.53,137.72,135.32,137.23,1360400
2020-10-19,136.78,139.71,137.61,138.26,2411257
2020-10-20,147.22,147.95,145.26,145.96,3288013
2020-10-21,148.25,147.3,146.1,147.11,3730771
2020-10-22,148.4,150.18,147.5,149.38,2767581
2020-10-23,152.29,152.89,149.53,151.29,3348818
2020-10-26,152.92,153.0,152.38,152.59,4415398
2020-10-27,151.73,153.07,151.17,151.96,1628151
2020-10-28,152.65,154.94,152.37,153.48,1957004
2020-10-29,151.21,153.16,150.92,151.93,4344849
2020-10-30,153.51,151.83,151.07,151.46,1335510
2020-11-02,150.49,151.2,148.77,150.49,4094973
2020-11-03,151.43,152.22,149.3,150.65,1452333
2020-11-04,154.49,156.39,153.6,155.28,4201824
2020-11-05,150.76,151.55,149.83,151.54,4808998
2020-11-06,154.0,154.44,151.42,152.92,3047463
2020-11-09,148.34,149.76,148.81,149.69,1857617
2020-11-10,148.33,150.24,147.53,148.75,1050248
2020-11-11,150.96,151.33,150.6,150.93,2254304
2020-11-12,151.17,152.97,149.71,151.05,4079868
2020-11-13,148.72,149.63,148.54,148.9,3041781
2020-11-16,147.86,148.12,146.08,147.47,3177040
2020-11-17,149.52,149.12,148.37,148.83,4352082
2020-11-18,148.1,147.98,147.13,147.37,1240346
2020-11-19,146.81,149.55,147.47,147.8,1618821
2020-11-20,147.61,149.88,147.89,147.89,1041954
2020-11-23,147.78,147.32,145.15,146.59,1351863
2020-11-24,151.77,151.77,149.41,150.88,1664164
2020-11-25,150.77,153.59,151.11,152.14,2796641
2020-11-26,148.44,149.87,147.77,148.09,1262739
2020-11-27,146.49,149.65,148.3,148.47,4437464
2020-11-30,147.19,147.93,147.1,147.14,2613507
2020-12-01,150.74,149.67,148.52,148.85,4400521
2020-12-02,146.31,148.65,145.48,147.26,3421961
2020-12-03,146.2,147.04,146.55,147.03,4035479
2020-12-04,148.81,149.28,147.33,148.04,1268116
2020-12-07,148.23,150.48,149.56,149.77,4423754
2020-12-08,146.74,148.96,146.93,147.37,2770330
2020-12-09,147.3,146.89,145.67,146.7,1464271
2020-12-10,145.12,146.93,144.54,145.75,4824857
2020-12-11,144.21,145.41,143.96,144.45,3646460
2020-12-14,148.72,149.26,147.86,147.98,4057404
2020-12-15,149.21,148.92,148.01,148.79,1364765
2020-12-16,146.53,147.43,145.8,146.27,2920382
2020-12-17,147.76,149.23,147.66,148.1,3142064
2020-12-18,152.72,153.47,150.43,152.35,1012879
2020-12-21,154.29,155.62,153.18,154.41,1558086
2020-12-22,151.83,152.73,150.26,151.37,4777807
2020-12-23,149.91,152.01,149.57,150.4,2531618
2020-12-24,152.76,153.48,152.08,152.94,1701433
2020-12-25,150.53,153.17,150.44,151.52,2386511
2020-12-28,152.38,153.41,151.02,152.41,4999143
2020-12-29,153.15,154.11,152.56,153.96,1487947
2020-12-30,150.99,152.22,151.76,152.11,3755362
2020-12-31,152.25,152.66,150.99,151.99,1159472
2021-01-01,145.72,147.07,144.68,145.5,3091028
2021-01-04,144.24,144.87,141.71,143.46,3895537
2021-01-05,142.52,144.53,141.69,142.95,3727850
2021-01-06,140.86,141.49,139.39,140.46,2698019
2021-01-07,144.27,144.6,143.49,143.72,4300335
2021-01-08,141.3,141.15,139.65,140.86,2779472
2021-01-11,139.15,140.64,139.75,139.98,4613983
2021-01-12,140.39,141.11,139.57,140.24,2301288
2021-01-13,143.49,143.3,142.84,143.12,2916037
2021-01-14,140.26,140.69,138.87,140.25,4149783
2021-01-15,140.49,143.77,142.17,142.58,3397466
2021-01-18,142.76,144.07,141.81,142.6,4139987
2021-01-19,142.85,142.63,138.84,140.64,3326168
2021-01-20,141.2,143.43,141.15,141.56,4908673
2021-01-21,141.23,143.24,140.94,141.96,2934984
2021-01-22,141.13,141.6,139.92,140.76,2338971
2021-01-25,141.21,142.17,140.86,140.9,3757436
2021-01-26,141.32,141.7,138.54,140.13,2096613
2021-01-27,139.1,140.59,140.22,140.35,1092115
2021-01-28,142.41,142.5,140.73,141.68,3037701
2021-01-29,145.44,146.53,143.73,144.85,4617760
2021-02-01,142.23,143.14,141.12,142.37,1482870
2021-02-02,146.98,147.78,145.26,146.64,2118976
2021-02-03,143.77,143.91,142.23,142.74,4769541
2021-02-04,143.3,142.8,142.41,142.43,1363308
2021-02-05,142.47,144.33,142.16,143.61,4369185
2021-02-08,144.99,144.84,143.1,144.17,2797038
2021-02-09,142.86,142.98,141.25,142.93,3238926
2021-02-10,142.58,142.56,140.87,142.51,3990316
2021-02-11,141.6,143.19,139.84,141.52,1015385
2021-02-12,140.19,140.89,139.37,140.34,4941496
2021-02-15,143.24,143.08,141.38,142.04,4997581
2021-02-16,142.67,143.36,141.17,142.76,4045881
2021-02-17,140.25,143.25,140.47,141.37,2608885
2021-02-18,142.78,143.69,142.8,143.17,3605822
2021-02-19,143.96,144.65,142.08,143.79,1117369
2021-02-22,146.64,147.16,143.65,145.41,1744990
2021-02-23,147.27,148.35,145.74,146.67,4719127
2021-02-24,144.16,145.39,144.86,145.01,3186554
2021-02-25,146.38,145.5,143.12,143.89,3741214
2021-02-26,145.65,146.3,143.78,145.39,3350876
2021-03-01,147.88,147.57,144.8,146.61,3837097
2021-03-02,146.41,146.83,146.16,146.57,4974879
2021-03-03,147.33,146.96,146.67,146.8,4373328
2021-03-04,150.2,150.81,147.6,149.36,3801549
2021-03-05,149.39,149.17,147.39,148.17,4619047
2021-03-08,150.32,150.14,148.18,149.27,4795711
2021-03-09,149.73,150.32,146.93,148.86,3231737
2021-03-10,148.11,149.96,148.29,148.43,3867695
2021-03-11,150.05,150.94,149.33,150.62,3765847
2021-03-12,152.61,153.5,152.13,152.28,2748076
2021-03-15,154.84,154.17,153.15,153.9,2152702
2021-03-16,156.29,158.02,154.91,156.51,4881461
2021-03-17,157.62,157.87,155.69,156.56,2650522
2021-03-18,159.37,159.83,155.93,157.92,2214488
2021-03-19,156.38,157.44,156.18,157.3,2047738
2021-03-22,157.11,158.06,157.31,157.95,2866015
2021-03-23,157.55,158.25,157.25,157.69,3023027
2021-03-24,158.19,158.4,157.18,157.88,4776849
2021-03-25,158.55,159.57,158.33,159.07,2167213
2021-03-26,158.79,159.25,157.3,157.43,1907153
2021-03-29,162.04,162.12,160.88,161.62,3714660
2021-03-30,159.65,160.15,158.68,159.61,2074969
2021-03-31,155.74,158.7,155.73,157.18,2630344
2021-04-01,158.18,160.4,158.18,159.5,4000827
2021-04-02,161.36,162.63,159.66,161.08,2923298
2021-04-05,160.19,162.46,162.31,162.33,4625279
2021-04-06,164.6,164.56,163.15,163.58,2713043
2021-04-07,163.4,163.63,162.24,163.56,1521397
2021-04-08,165.01,161.89,160.8,161.76,1792425
2021-04-09,164.22,163.73,161.91,161.92,4110997
2021-04-12,160.38,160.84,158.95,160.56,2142226
2021-04-13,162.41,163.58,160.97,162.51,4904413
2021-04-14,163.21,163.04,161.12,162.22,2566772
2021-04-15,162.27,161.26,160.43,160.57,4001179
2021-04-16,158.29,161.72,158.39,159.92,1052066
2021-04-19,158.96,160.79,159.58,160.75,3471146
2021-04-20,159.0,160.95,158.06,159.62,2877950
2021-04-21,158.56,159.91,156.47,157.98,2064714
2021-04-22,158.96,159.59,156.86,158.47,3215710
2021-04-23,160.03,160.83,157.92,158.96,1258480
2021-04-26,156.74,158.05,157.66,157.94,3534895
2021-04-27,154.68,157.84,155.66,157.0,2319910
2021-04-28,158.32,157.98,156.22,157.46,2126998
2021-04-29,153.74,156.03,153.08,154.57,4856786
2021-04-30,149.73,153.72,151.41,151.75,4752331
2021-05-03,150.46,150.83,149.93,150.32,2011214
2021-05-04,150.68,151.2,148.11,149.89,3126238
2021-05-05,150.39,150.91,149.01,150.51,3222756
2021-05-06,153.0,154.59,151.65,153.46,2935822
2021-05-07,155.02,156.1,153.66,155.18,2167900
2021-05-10,154.49,156.8,153.66,154.86,3573937
2021-05-11,153.47,156.04,153.51,154.82,3838122
2021-05-12,152.1,153.51,151.04,152.81,2439641
2021-05-13,153.3,153.01,151.62,152.78,1003435
2021-05-14,152.52,152.5,150.93,152.2,2936513
2021-05-17,153.01,153.3,152.53,152.84,2888339
2021-05-18,150.2,151.69,150.24,151.19,4305742
2021-05-19,152.05,153.93,150.8,152.23,3812147
2021-05-20,153.12,156.42,154.75,155.29,2470851
2021-05-21,155.26,156.12,154.67,155.08,1712917
2021-05-24,157.31,156.11,155.25,155.88,3472753
2021-05-25,155.79,158.98,156.78,157.26,3935973
2021-05-26,155.87,157.9,156.03,156.46,3936598
2021-05-27,157.24,157.04,156.06,156.91,4571770
2021-05-28,158.18,158.35,155.12,156.93,1292441
2021-05-31,156.68,158.21,156.11,157.13,3665330
2021-06-01,154.89,155.74,155.21,155.58,3380618
2021-06-02,153.66,156.55,155.48,155.63,3657179
2021-06-03,156.73,157.6,155.23,156.63,2451511
2021-06-04,161.57,159.86,158.76,159.53,3700993
2021-06-07,161.72,163.34,159.8,161.45,1008314
2021-06-08,165.73,167.45,164.43,165.75,1618119
2021-06-09,164.54,165.56,162.63,164.22,4515530
2021-06-10,165.95,166.89,165.42,165.96,3919697
2021-06-11,165.52,167.15,164.95,166.33,1641462
2021-06-14,171.53,172.01,170.18,170.71,3243581
2021-06-15,169.32,170.18,167.21,169.09,3327089
2021-06-16,167.43,167.54,166.14,167.41,1544653
2021-06-17,165.24,167.24,165.57,166.21,1301173
2021-06-18,163.27,163.58,161.43,161.97,2312457
2021-06-21,161.58,161.83,160.53,160.92,1393186
2021-06-22,158.84,159.5,158.01,159.4,2778568
2021-06-23,160.7,161.27,159.26,159.7,4755490
2021-06-24,159.88,160.78,159.19,160.38,1340362
2021-06-25,163.35,164.65,163.6,164.13,3877118
2021-06-28,165.27,166.36,164.71,166.03,4304299
2021-06-29,163.11,165.54,163.25,164.88,1765387
2021-06-30,163.56,164.6,161.53,163.08,3338626
2021-07-01,162.24,165.11,162.55,164.07,3225844
2021-07-02,160.2,161.84,161.05,161.43,1762790
2021-07-05,163.01,166.85,164.91,165.09,2750093
2021-07-06,167.36,169.21,166.05,167.45,3022327
2021-07-07,166.36,168.25,165.77,166.51,4536283
2021-07-08,162.76,163.56,162.22,163.08,2220682
2021-07-09,164.75,166.69,165.73,165.79,2048870
2021-07-12,164.39,167.53,165.04,165.56,4112728
2021-07-13,168.5,169.58,167.97,168.04,1811028
2021-07-14,164.3,164.9,163.09,164.85,3195337
2021-07-15,163.97,163.78,163.16,163.65,3895018
2021-07-16,162.78,164.59,162.55,163.66,3155534
2021-07-19,163.94,165.57,163.68,163.76,2348818
2021-07-20,164.16,163.93,161.52,162.86,3626095
2021-07-21,164.69,165.1,163.46,164.1,1607317
2021-07-22,161.55,162.18,160.17,161.97,2356948
2021-07-23,161.94,162.99,159.91,161.68,3100923
2021-07-26,161.68,163.57,161.27,161.92,2384819
2021-07-27,162.96,163.71,161.15,162.95,2693675
2021-07-28,164.05,165.93,162.38,164.37,1974303
2021-07-29,161.96,164.05,160.47,162.12,4994417
2021-07-30,159.27,159.46,157.37,159.06,2852566
2021-08-02,160.62,162.66,161.11,161.61,2016972
2021-08-03,161.26,162.85,161.12,162.28,1320580
2021-08-04,159.39,162.37,160.64,160.78,4253507
2021-08-05,162.28,165.04,163.69,163.88,1649179
2021-08-06,162.9,165.38,162.12,164.11,3876237
2021-08-09,166.63,168.07,165.82,166.47,4631047
2021-08-10,165.71,167.4,165.11,166.61,1778760
2021-08-11,171.24,172.56,169.11,170.73,3653816
2021-08-12,174.27,175.31,172.52,174.24,2036658
2021-08-13,171.77,174.06,171.75,173.74,1480674
2021-08-16,176.34,177.08,175.2,175.68,2126500
2021-08-17,177.79,178.56,176.89,176.97,1553620
2021-08-18,178.72,180.35,178.89,179.71,3490297
2021-08-19,178.2,179.5,177.52,177.78,4716753
2021-08-20,178.3,180.97,179.11,179.15,1393056
2021-08-23,181.37,181.83,180.55,181.27,1089031
2021-08-24,176.49,179.72,176.19,177.75,4612914
2021-08-25,173.59,175.67,174.25,175.39,1183024
2021-08-26,170.93,171.71,170.68,171.31,4428863
2021-08-27,170.65,171.14,169.46,170.77,2076048
2021-08-30,171.81,173.99,171.74,172.21,3157098
2021-08-31,174.03,176.52,175.18,175.21,2547358
2021-09-01,174.96,175.66,173.83,175.36,1944353
2021-09-02,178.88,179.5,177.37,178.62,4409413
2021-09-03,175.81,177.09,174.33,175.86,3750677
2021-09-06,172.63,172.62,172.37,172.45,2051341
2021-09-07,171.67,174.1,170.66,172.34,1305218
2021-09-08,174.28,174.71,171.87,173.11,3462091
2021-09-09,171.86,174.05,171.91,173.04,4830371
2021-09-10,169.39,170.84,167.66,168.91,2674251
2021-09-13,169.91,169.56,167.0,168.73,2823980
2021-09-14,166.6,168.09,164.94,166.12,3590529
2021-09-15,167.25,168.79,166.3,167.46,2966849
2021-09-16,167.66,169.46,166.21,168.19,2721742
2021-09-17,167.35,166.64,164.8,166.31,4105174
2021-09-20,163.86,167.05,164.4,165.28,4935132
2021-09-21,162.19,164.02,161.75,163.16,1673616
2021-09-22,162.64,163.36,162.26,163.04,1366047
2021-09-23,166.19,164.97,164.49,164.95,1518790
2021-09-24,163.36,164.1,161.78,162.98,4295453
2021-09-27,163.02,165.04,162.13,163.99,2676443
2021-09-28,162.62,164.36,161.07,162.93,4625613
2021-09-29,160.73,163.12,160.66,161.34,3136491
2021-09-30,160.42,161.28,160.07,161.13,4564701
2021-10-01,160.03,160.52,158.63,159.06,1304543
2021-10-04,156.58,158.32,155.96,157.95,4976173
2021-10-05,157.16,157.27,153.59,155.55,4112261
2021-10-06,160.31,161.12,158.18,159.48,2456498
2021-10-07,160.64,160.63,157.94,159.55,4697925
2021-10-08,157.69,159.57,156.72,158.15,1518993
2021-10-11,158.43,159.21,157.39,158.58,4091287
2021-10-12,156.92,159.3,158.25,158.36,1712932
2021-10-13,157.39,159.56,157.0,157.91,2527671
2021-10-14,159.64,160.06,157.79,159.14,1981271
2021-10-15,161.95,161.37,159.3,160.66,4303269
2021-10-18,158.49,160.58,158.85,159.6,3229537
2021-10-19,158.08,160.1,156.56,158.44,4546791
2021-10-20,157.74,158.57,157.56,157.89,1992206
2021-10-21,151.9,153.64,152.29,153.29,3238154
2021-10-22,150.85,151.68,148.88,150.26,1003285
2021-10-25,152.27,154.65,151.6,152.99,3482933
2021-10-26,156.09,156.49,154.99,156.28,3657303
2021-10-27,155.33,156.27,155.24,155.79,2196352
2021-10-28,156.15,157.22,156.63,156.94,4033361
2021-10-29,157.55,158.26,156.29,157.56,2704491
2021-11-01,163.5,164.62,162.52,163.72,4691339
2021-11-02,165.59,167.46,165.6,165.96,2381688
2021-11-03,164.97,167.01,164.29,165.7,2102491
2021-11-04,164.11,165.03,162.88,163.79,3468839
2021-11-05,162.23,161.28,159.24,160.58,1665979
2021-11-08,161.13,162.67,159.31,160.99,2252038
2021-11-09,160.47,160.42,159.13,159.47,1784278
2021-11-10,155.24,158.59,156.59,156.63,2943508
2021-11-11,155.49,156.6,153.78,155.34,1507553
2021-11-12,152.07,153.42,151.95,153.17,1976778
2021-11-15,155.07,157.9,155.15,156.55,4612117
2021-11-16,157.57,158.96,156.63,158.31,3470562
2021-11-17,159.49,159.67,156.69,158.29,3910323
2021-11-18,162.2,161.39,159.33,161.25,3538076
2021-11-19,161.65,161.76,160.34,161.41,4798057
2021-11-22,158.15,161.4,158.71,159.69,4198747
2021-11-23,162.54,163.19,161.93,162.73,2255802
2021-11-24,164.11,165.48,163.5,163.81,2281745
2021-11-25,161.91,162.29,160.59,161.74,1531661
2021-11-26,159.51,162.64,160.8,161.35,4836369
2021-11-29,158.71,160.99,157.76,159.6,4690203
2021-11-30,156.77,157.86,155.67,156.84,2902871
2021-12-01,159.23,159.3,157.5,158.69,1622215
2021-12-02,160.31,162.93,161.8,162.51,2811049
2021-12-03,159.55,159.78,159.61,159.71,1346229
2021-12-06,160.98,161.45,160.77,160.84,2166572
2021-12-07,160.39,160.84,158.69,159.54,1563508
2021-12-08,159.26,160.44,158.39,158.56,3489799
2021-12-09,157.96,159.12,156.16,157.38,2564547
2021-12-10,154.85,157.18,153.89,155.65,1531930
2021-12-13,153.84,157.32,153.98,155.75,1079971
2021-12-14,153.69,155.41,152.77,154.08,2628420
2021-12-15,155.63,155.15,154.2,154.63,2475552
2021-12-16,155.92,156.34,152.8,154.53,2873200
2021-12-17,154.76,155.39,152.28,154.05,2566049
2021-12-20,152.66,153.35,151.84,152.23,1397597
2021-12-21,151.46,151.3,149.6,151.08,3849095
2021-12-22,152.03,153.48,152.02,152.59,2461350
2021-12-23,153.46,154.51,151.99,153.59,2341502
